Artist,Song
Bob Sinclar,Gym Tonic
Sylver,Turn The Tide
Shakedown Featuring Terra Deva,At Night
Way Out West Featuring Joanna Law,The Gift
Eric Prydz,Generate
Maceo Plex,Falling
Goldtrix Presents Andrea Brown,It's Love (Trippin')
JX,There's Nothing I Won't Do
Negrocan,Cada Vez
Michel Cleis,La Mezcla
Cidinho & Doca,Rap das Armas (para papa) (Quintino remix)
Vengaboys,Up and Down
Natural Born Grooves,Groovebird
Spankox,To the Club
Supermen Lovers,Starlight
Rachmad Project 1,Just Having Fun
Zedd feat. Foxes,Clarity
Bob Sinclar,Feel For You
Lee Cabrera,Shake It (Move A Little Closer)
Solar Stone,Seven Cities
Naomi Daniel (Deep Dish),Burning
Bicep,Glue
In-Sync,Storm
Secret Cinema,Straight Forward
Dada Life,Great Fashionista Swindle
Dajae,U got me up
Duke Dumont,Need U (100%)
Empire of the Sun,Walking on a Dream
Peter Gelderblom & Rene Amesz,Waiting 4
Duke Dumont,Ocean Drive
Silvio Ecomo,No Dip
DOP,Here I go
Aurora Borealis,The Milky Way
Burak Yeter,Tuesday
Deadmau5,Faxing Berlin
Poltergeist,Vicious Circles
Avicii & Nicky Romero,I could be the one
Josh Wink,Freak
Kamaya Painters,Endless wave
Lisa Lisa & Cult Jam,Let The Beat Hit 'Em
Mac Zimms,L'Annonce des Couleurs
Eric Kupper,Planet K
Me and Jack,Viva House
Leftfield & Lydon,Open Up
Precious X Project,Dukkha
Boris Dlugosch,Keep Pushin
Quazar,Cycledrops
Storm,Time To Burn
Wankelmut,One Day (The Reckoning song)
Armin van Buuren & Jacqueline Goovaerts,Never say Never
Blast,Crazyman
Mylo,In Your Arms
Calvin Harris & Dua Lipa,One Kiss
Avicii & Sebastien Drums,My feelings for you
Castle Trancelott,Indoctrinate
Dirty South,Let it Go
Far East Movement,Like a G6
Eric Nouhan,Palmyra
Fatboy Slim Featuring Roland Clark,Star 69 (What The Fuck!)
Guaranteed Raw,Get a load of this
Inner City,Ahnongay
Leftfield,Storm 3000
Perpetual Motion,Keep On Dancing (Let's Go)
Revelation,First Power
4 Hero,Mr. Kirk's Nightmare
Mole People (aka Armand van Helden),Break Night
Kay & Fisher,Continental Drift (CRIB 010)
Dance Nation,Sunshine
DB Boulevard,Point Of View
Eelke Kleijn,Ein Tag Am Strand
One Tribe feat Gem,Is This All?
Timo Maas,Ubik
Roger Sanchez Featuring GTO,Turn On The Music
Freestylers,Ruffneck
Niels van Gogh,Pulverturm (Tiesto's Big Room Remix)
Green Velvet,Shake & Pop
Jam & Spoon Featuring Plavka,Find Me
Moony,Dove (I'll Be Loving You)
Jesus loves you,Generations of love
Kiesza,Hideaway
Remy,Oxagene
Mousse T Vs Hot 'n' Juicy,Horny
Perry & Rhodan,Beat just goes straight
Shaft,(Mucho mambo) Sway
Untouchables,Dance to the rhythm
Xpansions,Move Your Body (Elevation)
M.N.O.,God of Abraham
